"filename", "language", "Dart", "comment", "blank", "total"
"c:\dev\easybiztoyayoi\lib\models\company_edit_model.freezed.dart", "Dart", 1, 0, 0, 1
"c:\dev\easybiztoyayoi\lib\providers\journals_provider.dart", "Dart", 26, 1, 1, 28
"c:\dev\easybiztoyayoi\lib\screens\company_edit_page.dart", "Dart", 61, 0, 1, 62
"c:\dev\easybiztoyayoi\lib\screens\welcome_page.dart", "Dart", 8, 2, 0, 10
"c:\dev\easybiztoyayoi\lib\screens\widgets\current_journal.dart", "Dart", 60, 0, 7, 67
"Total", "-", 156, 3, 9, 168
